skill,soft_skill,language,certification,job_title,company,education,summary,experience,project,label
0.85,0.30,0.40,0.50,0.80,0.20,0.55,0.70,0.75,0.40,1
0.78,0.10,0.20,0.30,0.72,0.15,0.48,0.60,0.68,0.55,1
0.65,0.25,0.55,0.20,0.66,0.30,0.40,0.52,0.60,0.30,1
0.90,0.40,0.30,0.60,0.85,0.10,0.50,0.66,0.80,0.20,1
0.72,0.05,0.10,0.45,0.70,0.25,0.35,0.58,0.62,0.48,1
0.60,0.35,0.45,0.15,0.62,0.40,0.58,0.50,0.55,0.35,1
0.83,0.20,0.25,0.55,0.78,0.18,0.42,0.64,0.72,0.50,1
0.68,0.30,0.60,0.25,0.64,0.22,0.46,0.55,0.58,0.28,1
0.75,0.15,0.35,0.40,0.74,0.28,0.52,0.62,0.70,0.42,1
0.88,0.45,0.30,0.50,0.82,0.12,0.49,0.69,0.78,0.33,1
0.58,0.25,0.50,0.20,0.60,0.35,0.55,0.48,0.52,0.40,1
0.80,0.10,0.20,0.35,0.76,0.20,0.44,0.60,0.74,0.45,1
0.15,0.05,0.00,0.00,0.20,0.00,0.18,0.12,0.10,0.05,0
0.25,0.10,0.10,0.05,0.18,0.05,0.22,0.20,0.15,0.08,0
0.10,0.00,0.05,0.00,0.12,0.00,0.10,0.08,0.05,0.00,0
0.30,0.15,0.20,0.10,0.28,0.10,0.25,0.22,0.20,0.12,0
0.20,0.05,0.00,0.00,0.25,0.05,0.15,0.18,0.12,0.00,0
0.35,0.20,0.15,0.05,0.30,0.12,0.30,0.25,0.22,0.10,0
0.12,0.00,0.10,0.00,0.15,0.00,0.12,0.10,0.08,0.05,0
0.40,0.10,0.05,0.15,0.22,0.08,0.20,0.28,0.18,0.15,0
0.18,0.08,0.00,0.00,0.20,0.00,0.16,0.14,0.10,0.02,0
0.28,0.12,0.20,0.05,0.26,0.10,0.24,0.20,0.16,0.09,0
0.22,0.05,0.10,0.00,0.30,0.05,0.18,0.15,0.20,0.06,0
0.33,0.18,0.25,0.10,0.32,0.15,0.28,0.24,0.21,0.13,0
